director,count
Not Given,2588
Rajiv Chilaka,20
Alastair Fothergill,18
"Raúl Campos, Jan Suter",18
Marcus Raboy,16
Suhas Kadav,16
Jay Karas,14
Cathy Garcia-Molina,13
Youssef Chahine,12
Jay Chapman,12
Martin Scorsese,12
Steven Spielberg,11
Don Michael Paul,10
"Mark Thornton, Todd Kauffman",10
David Dhawan,9
Ryan Polito,8
Troy Miller,8
Fernando Ayllón,8
Shannon Hartman,8
Robert Rodriguez,8
Lance Bangs,8
Quentin Tarantino,8
Johnnie To,8
Yılmaz Erdoğan,8
Hakan Algül,8
Kunle Afolayan,8
Prakash Satam,7
Toshiya Shinohara,7
Ron Howard,7
Clint Eastwood,7
